IIT_NE_ID,IIT_INV_TYPE,IIT_PRIMARY_KEY,IIT_ADMIN_UNIT,PLGR_ASSET_ID,PLGR_PARENT_ID,PLGR_NAME,PLGR_TYPE,CONTRACT_UNIT,PLGR_LOCATION,PLGR_UPGRADE
4279443,PLGR,PLGR508,18,PLGR508,UOS16353,,,HARRISON,MOONLIGHT AVENUE NEIGHBOURHOOD PARK,
5907434,PLGR,PLGR517,18,PLGR517,UOS19088, MARY KITSON NEIGHBOURHOOD PARK,,WATSON,MARY KITSON NEIGHBOURHOOD PARK,
5256875,PLGR,PLGR514,18,PLGR514,UOS17314,,LOCAL NEIGHBOURHOOD,DEAKIN,HANNAH PLACE NEIGHBOURHOOD PARK,2007
5517134,PLGR,PLGR516,18,PLGR516,UOS17349,,LOCAL NEIGHBOURHOOD,FRANKLIN,CHARLOTTE BARTON STREET NEIGHBOURHOOD PARK,
5513090,PLGR,PLGR515,18,PLGR515,UOS17314,,LOCAL NEIGHBOURHOOD,DEAKIN,HANNAH PLACE NEIGHBOURHOOD PARK,2007
6048971,PLGR,PLGR518,18,PLGR518,UOS16317,,CENTRAL NEIGHBOURHOOD,GUNGAHLIN,MARY GILLISPIE AVENUE PEDESTRIAN PARKLAND,
6049074,PLGR,PLGR519,18,PLGR519,UOS16009,,CENTRAL NEIGHBOURHOOD,GUNGAHLIN,ANSETT NEIGHBOURHOOD PARK,
2588847,PLGR,PLGR231,18,PLGR231,UOS11524,,,CHISHOLM,DEAMER CERESCENT,
2588852,PLGR,PLGR232,18,PLGR232,UOS11393,,,CHISHOLM,HEAGNEY CRESCENT,
2588853,PLGR,PLGR233,18,PLGR233,UOS11263,,,CHISHOLM,DALYELL STREET,
2588854,PLGR,PLGR234,18,PLGR234,UOS11234,,,CHISHOLM,ALSTON STREET,
2588855,PLGR,PLGR235,18,PLGR235,UOS10790,,,CHISHOLM,KIRKCALDIE CIRCUIT,
2588857,PLGR,PLGR236,18,PLGR236,UOS10761,,,CHISHOLM,PROCTOR STREET,
2588859,PLGR,PLGR237,18,PLGR237,UOS11021,,,GILMORE,HEAGNEY CRESCENT,
2588861,PLGR,PLGR238,18,PLGR238,UOS11162,,,GILMORE,HOGUE PLACE,
2588863,PLGR,PLGR239,18,PLGR239,UOS11289,,,GILMORE,ROSMAN CIRCUIT,
2588864,PLGR,PLGR24,18,PLGR24,UOS14310,,,CAMPBELL,ELLIOTT PLACE,
2588865,PLGR,PLGR240,18,PLGR240,UOS9817,,,GREENWAY,DE LITTLE CIRCUIT,
2588866,PLGR,PLGR241,18,PLGR241,UOS9817,,,GREENWAY,FLORENCE TAYLOR STREET,
2588867,PLGR,PLGR242,18,PLGR242,UOS10549,,,GREENWAY,ANKETELL STREET,
2588868,PLGR,PLGR243,18,PLGR243,UOS11598,,,BONYTHON,MARQUET RETREAT,
2588870,PLGR,PLGR244,18,PLGR244,UOS12450,,,CONDER,RUSSEL DRYSDALE CRESCENT,
2588872,PLGR,PLGR245,18,PLGR245,UOS11857,,,BONYTHON,HUSSEY COVE,
2588876,PLGR,PLGR246,18,PLGR246,UOS11733,,,BONYTHON,MORICE PLACE,
2588877,PLGR,PLGR247,18,PLGR247,UOS11130,,,MONASH,COCKROFT AVENUE,
2588878,PLGR,PLGR248,18,PLGR248,UOS11080,,,MONASH,CHARLESTON STREET,
2588882,PLGR,PLGR249,18,PLGR249,UOS11155,,,MONASH,WILLIAM HUDSON CRESCENT,
2588883,PLGR,PLGR25,18,PLGR25,UOS14257,,,CAMPBELL,GARSIA STREET,
2588884,PLGR,PLGR250,18,PLGR250,UOS10721,,,MONASH,HALLSTROM CIRCUIT,
2588886,PLGR,PLGR251,18,PLGR251,UOS10926,,,MONASH,CLIVE STEELE AVENUE,
2588888,PLGR,PLGR252,18,PLGR252,UOS10750,,,MONASH,ALABASTER STREET,
2588890,PLGR,PLGR253,18,PLGR253,UOS10821,,,MONASH,UPTON STREET,
2588892,PLGR,PLGR254,18,PLGR254,UOS10453,,,MONASH,VICTOR PLACE,
2588893,PLGR,PLGR255,18,PLGR255,UOS10354,,,OXLEY,NEWMAN MORRIS CIRCUIT,
2588894,PLGR,PLGR256,18,PLGR256,UOS10513,,,OXLEY,CUTHBERTSON STREET MCKIBBIN PL,
2588896,PLGR,PLGR257,18,PLGR257,UOS11683,,,RICHARDSON,VIDAL STREET,
2588898,PLGR,PLGR258,18,PLGR258,UOS11621,,,RICHARDSON,CHAUNCY CRESCENT,
