Name, LocationNo, Street, Town, State, Postcode, Phone, Unlead, PremiumUnlead, BPUltimate, E10, Diesel, Any_Autogas, Hours_24, Trailers, LPGBottle, Toilets, CarWash, CleanGo, SuperWash, Other, Pay, EFTPOS, GIFT_CARD, ATM, Restaurant, TruckStops, Express, BP_UltimateDiesel,
17 Mile Service Centre,5354,Virginia Rd,Virginia,NT,835,08 8983 1511,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
AA Bayswater,3015,362 - 366 Bayswater Rd,Bayswater,VIC,3153,03 9729 4574,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Box Hill,3847,839 - 843 Whitehorse Rd,Box Hill,VIC,3128,03 9890 2086,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Box Hill South,3828,891 Canterbury Rd,Box Hill,VIC,3128,03 9899 2152,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Braybrook,3657,277 - 281 Ballarat Rd,Braybrook,VIC,3019,03 9311 0718,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Brooklyn,3243,737 Geelong Rd,Brooklyn,VIC,3025,03 9314 4583,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,
AA Burwood,3888,144 Burwood Hwy,Burwood,VIC,3125,03 9888 8066,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA BURWOOD EAST,3864,Cnr Blackburn Rd & Burwood Hwy,BURWOOD EAST,VIC,3151,03 9803 4904,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Calder Inbound,4187,1262 Calder Fwy,Calder Park,VIC,3037,03 8361 6815,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,
AA Calder Outbound,5450,937 Calder Fwy,Calder Park,VIC,3037,03 9390 3955,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,
AA Carlton,271,117 Elgin St,Carlton,VIC,3053,03 9347 5193,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
AA Chadstone,98,716 - 720 Warrigal Rd,Chadstone,VIC,3148,03 9568 5122,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Croydon,3877,244 Mt Dandenong Rd,Croydon,VIC,3136,03 9723 4324,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Deer Park,3857,1001 - 1007 Western Hwy,Deer Park,VIC,3023,03 9361 2077,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,
AA Doncaster,56,882 Doncaster Road,Doncaster East,VIC,3109,03 9848 3931,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Doveton,3682,60 - 64 Princes Hwy,Doveton,VIC,3177,03 9793 4405,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Dromana,577,1 Marine Dr,Dromana,VIC,3936,03 5981 4358,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
