State,Suburb,Brand,Address,Postcode,Phone,E10,ULP,PULP,VX98,LPG,Diesel,Biodiesel,Vortex Diesel,Eftpos,Workshop,OpenAllHours,Carwash,Disabled Toilet,ATM,BBQ Gas,Truckstop,Starcash,E-FLEX,VX95,Longitude,Latitude
NSW,COOGEE,CALTEX,146-148 COOGEE BAY ROAD,2034,02 96655961,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,151.2514500,-33.9199850
VIC,PRESTON,CALTEX,73 MURRAY RD & ALBERT ST,3072,03 9470 6660,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,N,No,No,Yes,145.0237390,-37.7404540
NSW,LAKE TABOURIE,INDEPENDENT,66-74 PRINCES HIGHWAY,2539,02 44573058,No,Yes,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,No,150.4272650,-35.2414990
QLD,GRACEMERE,CALTEX,10 MC LAUGHLIN STREET,4702,07 4933 2178,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,150.4543070,-23.4341220
SA,ALDINGA BEACH,CALTEX,ALDINGA BEACH RD & PRIDHAM BLVDE,5173,08 85566688,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,138.4604080,-35.2785440
VIC,ESSENDON,INDEPENDENT,337 PASCOE VALE RD,3040,03 93794735,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,144.9280110,-37.7437780
VIC,KOO WEE RUP,CALTEX,3935 SOUTH GIPPSLAND HWY CNR SYBELL,3981,03 59971354,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.4969960,-38.2146380
SA,GRANGE,CALTEX,328 MILITARY RD,5022,08 83567120,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,Yes,No,Yes,138.4904520,-34.8997710
QLD,LOGANHOLME,CALTEX,80 BRYANTS RD,4128,07 38012564,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,No,N,Yes,No,Yes,153.1799980,-27.6632390
QLD,DINGO,CALTEX,CAPRICORN HIGHWAY,4702,07 49359178,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,149.3351350,-23.6509770
VIC,THOMASTOWN,CALTEX,CNR DALTON RD & WOOD ST,3074,03 94646999,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,N,No,No,Yes,145.0248080,-37.6930500
TAS,WATTLE HILL,CALTEX,BASS HIGHWAY,7307,03 64261570,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,Yes,146.4429250,-41.2418540
WA,KARRIDALE,AMPOL,1 BUSSELL HWY,6288,08 97585523,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,,No,No,No,6,No,No,No,115.0988950,-34.2021760
SA,WILLUNGA,CALTEX,16 MAIN RD,5172,08 85562050,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,No,N,No,No,No,138.5522770,-35.2444460
SA,YAMBA,CALTEX,STURT HWY,5341,08 85955023,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,No,7,No,No,Yes,140.8623360,-34.2608560
QLD,KIRWAN TOWNSVILLE,CALTEX,103-105 THURINGOWA DR,4817,07 47735633,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,,No,No,No,N,No,No,No,146.7347270,-19.3040600
