Suburb,Year,Number of Nests
Acton,2006,2
Ainslie,2006,5
Amaroo,2006,1
Aranda,2006,3
Banks,2006,1
Barton,2006,0
Belconnen,2006,0
Bonner,2006,0
Bonython,2006,3
Braddon,2006,1
Bruce,2006,0
Bywong,2006,0
Calwell,2006,6
Campbell,2006,9
Capital Hill,2006,0
Carwoola,2006,0
Casey,2006,0
Chapman,2006,5
Charnwood,2006,1
Chifley,2006,1
Chisholm,2006,4
City,2006,0
Conder,2006,1
Cook,2006,3
Coppins Crossing,2006,0
Coree,2006,0
Crace,2006,0
Curtin,2006,17
Deakin,2006,2
Dickson,2006,0
Downer,2006,4
Duffy,2006,9
Dunlop,2006,3
Evatt,2006,5
Fadden,2006,5
Farrer,2006,5
Fisher,2006,5
Florey,2006,3
Flynn,2006,3
Forde,2006,0
Forrest,2006,1
Franklin,2006,0
Fraser,2006,3
Fyshwick,2006,3
Garran,2006,1
Gilmore,2006,3
Giralang,2006,0
Googong,2006,0
Gordon,2006,5
Gowrie,2006,5
Greenway,2006,3
Griffith,2006,3
Gungahlin,2006,2
Hackett,2006,1
Harrison,2006,0
Hawker,2006,0
Higgins,2006,1
Holder,2006,5
Holt,2006,5
Hughes,2006,5
Hume,2006,0
Isaacs,2006,1
Isabella Plains,2006,4
Jamison,2006,0
Jerrabomberra,2006,0
Kaleen,2006,7
Kambah,2006,23
Kenny,2006,0
Kingston,2006,2
Kinlyside,2006,0
Latham,2006,3
Lawson,2006,0
Lyneham,2006,4
Lyons,2006,4
Macarthur,2006,2
Macgregor,2006,7
Macquarie,2006,2
Majura,2006,1
Manuka,2006,0
Mawson,2006,6
McKellar,2006,2
Melba,2006,1
Mitchell,2006,0
Monash,2006,8
Moncrieff,2006,0
Narrabundah,2006,7
Ngunnawal,2006,3
Nicholls,2006,1
Oaks Estate,2006,0
O'Connor,2006,3
O'Malley,2006,0
Oxley,2006,1
Paddy's River,2006,1
Page,2006,1
Palmerston,2006,1
Parkes,2006,0
Pearce,2006,2
Phillip,2006,2
Pialligo,2006,1
Pine Island,2006,0
Queanbeyan,2006,2
Red Hill,2006,3
Reid,2006,3
Richardson,2006,3
Rivett,2006,4
Royalla,2006,0
Russell,2006,0
Scullin,2006,6
Spence,2006,3
Stirling,2006,1
Stromlo Forest,2006,0
Sulman,2006,0
Sutton,2006,0
Swinger Hill,2006,0
Symonston,2006,0
Taylor,2006,0
Tharwa,2006,1
Theodore,2006,4
Throsby,2006,0
Torrens,2006,2
Turner,2006,1
Uriarra,2006,0
Wanniassa,2006,6
Waramanga,2006,1
Watson,2006,4
Weetangera,2006,3
Weston,2006,6
Wright,2006,0
Yarralumla,2006,3
,,
Total,2006,309
,,
Acton,2007,1
Ainslie,2007,4
Amaroo,2007,5
Aranda,2007,2
Banks,2007,4
Barton,2007,4
Belconnen,2007,0
Bonner,2007,0
Bonython,2007,0
Braddon,2007,2
Bruce,2007,2
Bywong,2007,0
Calwell,2007,1
Campbell,2007,2
Capital Hill,2007,0
Carwoola,2007,0
Casey,2007,0
Chapman,2007,6
Charnwood,2007,2
Chifley,2007,4
Chisholm,2007,4
City,2007,0
Conder,2007,0
Cook,2007,5
Coppins Crossing,2007,0
Coree,2007,0
Crace,2007,0
Curtin,2007,15
Deakin,2007,5
Dickson,2007,0
Downer,2007,4
Duffy,2007,10
Dunlop,2007,7
Evatt,2007,9
Fadden,2007,2
Farrer,2007,4
Fisher,2007,4
Florey,2007,1
Flynn,2007,10
Forde,2007,0
Forrest,2007,4
Franklin,2007,0
Fraser,2007,2
Fyshwick,2007,2
Garran,2007,7
Gilmore,2007,0
Giralang,2007,6
Googong,2007,0
Gordon,2007,2
Gowrie,2007,0
Greenway,2007,4
Griffith,2007,10
Gungahlin,2007,8
Hackett,2007,2
Harrison,2007,0
Hawker,2007,3
Higgins,2007,7
Holder,2007,8
Holt,2007,7
Hughes,2007,5
Hume,2007,3
Isaacs,2007,7
Isabella Plains,2007,3
Jamison,2007,0
Jerrabomberra,2007,1
Kaleen,2007,5
Kambah,2007,20
Kenny,2007,0
Kingston,2007,1
Kinlyside,2007,0
Latham,2007,0
Lawson,2007,0
Lyneham,2007,2
Lyons,2007,2
Macarthur,2007,0
Macgregor,2007,7
Macquarie,2007,2
Majura,2007,0
Manuka,2007,0
Mawson,2007,4
McKellar,2007,1
Melba,2007,5
Mitchell,2007,0
Monash,2007,4
Moncrieff,2007,0
Narrabundah,2007,3
Ngunnawal,2007,8
Nicholls,2007,3
Oaks Estate,2007,0
O'Connor,2007,3
O'Malley,2007,2
Oxley,2007,0
Paddy's River,2007,0
Page,2007,2
Palmerston,2007,2
Parkes,2007,0
Pearce,2007,3
Phillip,2007,0
Pialligo,2007,4
Pine Island,2007,0
Queanbeyan,2007,2
Red Hill,2007,7
Reid,2007,0
Richardson,2007,2
Rivett,2007,9
Royalla,2007,0
Russell,2007,0
Scullin,2007,5
Spence,2007,4
Stirling,2007,2
Stromlo Forest,2007,0
Sulman,2007,0
Sutton,2007,0
Swinger Hill,2007,0
Symonston,2007,0
Taylor,2007,0
Tharwa,2007,0
Theodore,2007,2
Throsby,2007,0
Torrens,2007,4
Turner,2007,3
Uriarra,2007,1
Wanniassa,2007,0
Waramanga,2007,2
Watson,2007,2
Weetangera,2007,5
Weston,2007,4
Wright,2007,0
Yarralumla,2007,4
,,
Total,2007,351
,,
Acton,2008,4
Ainslie,2008,2
Amaroo,2008,1
Aranda,2008,1
Banks,2008,0
Barton,2008,0
Belconnen,2008,0
Bonner,2008,0
Bonython,2008,1
Braddon,2008,3
Bruce,2008,2
Bywong,2008,0
Calwell,2008,4
Campbell,2008,8
Capital Hill,2008,0
Carwoola,2008,0
Casey,2008,0
Chapman,2008,10
Charnwood,2008,2
Chifley,2008,7
Chisholm,2008,5
City,2008,0
Conder,2008,3
Cook,2008,4
Coppins Crossing,2008,0
Coree,2008,0
Crace,2008,0
Curtin,2008,22
Deakin,2008,9
Dickson,2008,3
Downer,2008,2
Duffy,2008,22
Dunlop,2008,4
Evatt,2008,12
Fadden,2008,1
Farrer,2008,7
Fisher,2008,9
Florey,2008,2
Flynn,2008,6
Forde,2008,1
Forrest,2008,1
Franklin,2008,0
Fraser,2008,5
Fyshwick,2008,3
Garran,2008,10
Gilmore,2008,2
Giralang,2008,12
Googong,2008,0
Gordon,2008,5
Gowrie,2008,3
Greenway,2008,8
Griffith,2008,4
Gungahlin,2008,1
Hackett,2008,2
Harrison,2008,1
Hawker,2008,7
Higgins,2008,4
Holder,2008,10
Holt,2008,3
Hughes,2008,9
Hume,2008,2
Isaacs,2008,3
Isabella Plains,2008,1
Jamison,2008,0
Jerrabomberra,2008,2
Kaleen,2008,17
Kambah,2008,40
Kenny,2008,0
Kingston,2008,1
Kinlyside,2008,0
Latham,2008,5
Lawson,2008,0
Lyneham,2008,4
Lyons,2008,13
Macarthur,2008,2
Macgregor,2008,9
Macquarie,2008,4
Majura,2008,0
Manuka,2008,0
Mawson,2008,3
McKellar,2008,1
Melba,2008,5
Mitchell,2008,0
Monash,2008,5
Moncrieff,2008,0
Narrabundah,2008,6
Ngunnawal,2008,8
Nicholls,2008,6
Oaks Estate,2008,0
O'Connor,2008,4
O'Malley,2008,2
Oxley,2008,2
Paddy's River,2008,0
Page,2008,2
Palmerston,2008,0
Parkes,2008,0
Pearce,2008,3
Phillip,2008,1
Pialligo,2008,1
Pine Island,2008,0
Queanbeyan,2008,5
Red Hill,2008,6
Reid,2008,1
Richardson,2008,2
Rivett,2008,13
Royalla,2008,0
Russell,2008,1
Scullin,2008,3
Spence,2008,4
Stirling,2008,2
Stromlo Forest,2008,0
Sulman,2008,0
Sutton,2008,0
Swinger Hill,2008,0
Symonston,2008,0
Taylor,2008,0
Tharwa,2008,1
Theodore,2008,4
Throsby,2008,0
Torrens,2008,1
Turner,2008,4
Uriarra,2008,1
Wanniassa,2008,3
Waramanga,2008,6
Watson,2008,2
Weetangera,2008,3
Weston,2008,14
Wright,2008,0
Yarralumla,2008,11
,,
Total,2008,486
,,
Acton,2009,1
Ainslie,2009,11
Amaroo,2009,6
Aranda,2009,6
Banks,2009,0
Barton,2009,5
Belconnen,2009,4
Bonner,2009,0
Bonython,2009,4
Braddon,2009,4
Bruce,2009,5
Bywong,2009,0
Calwell,2009,2
Campbell,2009,22
Capital Hill,2009,0
Carwoola,2009,0
Casey,2009,0
Chapman,2009,17
Charnwood,2009,2
Chifley,2009,7
Chisholm,2009,7
City,2009,0
Conder,2009,6
Cook,2009,6
Coppins Crossing,2009,2
Coree,2009,0
Crace,2009,0
Curtin,2009,22
Deakin,2009,11
Dickson,2009,3
Downer,2009,12
Duffy,2009,15
Dunlop,2009,8
Evatt,2009,12
Fadden,2009,11
Farrer,2009,8
Fisher,2009,9
Florey,2009,15
Flynn,2009,8
Forde,2009,1
Forrest,2009,9
Franklin,2009,0
Fraser,2009,5
Fyshwick,2009,6
Garran,2009,10
Gilmore,2009,4
Giralang,2009,6
Googong,2009,2
Gordon,2009,8
Gowrie,2009,4
Greenway,2009,7
Griffith,2009,19
Gungahlin,2009,2
Hackett,2009,8
Harrison,2009,2
Hawker,2009,13
Higgins,2009,4
Holder,2009,8
Holt,2009,8
Hughes,2009,13
Hume,2009,3
Isaacs,2009,4
Isabella Plains,2009,5
Jamison,2009,1
Jerrabomberra,2009,2
Kaleen,2009,10
Kambah,2009,32
Kenny,2009,0
Kingston,2009,3
Kinlyside,2009,0
Latham,2009,3
Lawson,2009,0
Lyneham,2009,8
Lyons,2009,12
Macarthur,2009,6
Macgregor,2009,4
Macquarie,2009,6
Majura,2009,0
Manuka,2009,0
Mawson,2009,13
McKellar,2009,3
Melba,2009,3
Mitchell,2009,1
Monash,2009,12
Moncrieff,2009,0
Narrabundah,2009,22
Ngunnawal,2009,5
Nicholls,2009,6
Oaks Estate,2009,1
O'Connor,2009,11
O'Malley,2009,1
Oxley,2009,5
Paddy's River,2009,0
Page,2009,7
Palmerston,2009,5
Parkes,2009,1
Pearce,2009,6
Phillip,2009,1
Pialligo,2009,2
Pine Island,2009,3
Queanbeyan,2009,10
Red Hill,2009,11
Reid,2009,4
Richardson,2009,4
Rivett,2009,12
Royalla,2009,1
Russell,2009,2
Scullin,2009,7
Spence,2009,7
Stirling,2009,3
Stromlo Forest,2009,1
Sulman,2009,0
Sutton,2009,1
Swinger Hill,2009,0
Symonston,2009,0
Taylor,2009,0
Tharwa,2009,0
Theodore,2009,5
Throsby,2009,0
Torrens,2009,8
Turner,2009,4
Uriarra,2009,1
Wanniassa,2009,15
Waramanga,2009,10
Watson,2009,9
Weetangera,2009,16
Weston,2009,14
Wright,2009,0
Yarralumla,2009,19
,,
Total,2009,761
,,
Acton,2010,0
Ainslie,2010,1
Amaroo,2010,0
Aranda,2010,0
Banks,2010,7
Barton,2010,0
Belconnen,2010,1
Bonner,2010,0
Bonython,2010,1
Braddon,2010,1
Bruce,2010,0
Bywong,2010,0
Calwell,2010,4
Campbell,2010,2
Capital Hill,2010,0
Carwoola,2010,1
Casey,2010,0
Chapman,2010,2
Charnwood,2010,0
Chifley,2010,3
Chisholm,2010,2
City,2010,0
Conder,2010,4
Cook,2010,0
Coppins Crossing,2010,0
Coree,2010,0
Crace,2010,0
Curtin,2010,16
Deakin,2010,4
Dickson,2010,0
Downer,2010,6
Duffy,2010,6
Dunlop,2010,2
Evatt,2010,12
Fadden,2010,5
Farrer,2010,3
Fisher,2010,7
Florey,2010,3
Flynn,2010,2
Forde,2010,0
Forrest,2010,2
Franklin,2010,0
Fraser,2010,2
Fyshwick,2010,1
Garran,2010,8
Gilmore,2010,5
Giralang,2010,3
Googong,2010,0
Gordon,2010,7
Gowrie,2010,5
Greenway,2010,2
Griffith,2010,0
Gungahlin,2010,2
Hackett,2010,1
Harrison,2010,1
Hawker,2010,4
Higgins,2010,3
Holder,2010,5
Holt,2010,3
Hughes,2010,4
Hume,2010,1
Isaacs,2010,3
Isabella Plains,2010,4
Jamison,2010,0
Jerrabomberra,2010,2
Kaleen,2010,7
Kambah,2010,28
Kenny,2010,0
Kingston,2010,1
Kinlyside,2010,0
Latham,2010,1
Lawson,2010,0
Lyneham,2010,4
Lyons,2010,3
Macarthur,2010,1
Macgregor,2010,3
Macquarie,2010,0
Majura,2010,0
Manuka,2010,0
Mawson,2010,9
McKellar,2010,2
Melba,2010,3
Mitchell,2010,0
Monash,2010,13
Moncrieff,2010,0
Narrabundah,2010,7
Ngunnawal,2010,5
Nicholls,2010,9
Oaks Estate,2010,1
O'Connor,2010,4
O'Malley,2010,1
Oxley,2010,0
Paddy's River,2010,0
Page,2010,2
Palmerston,2010,7
Parkes,2010,0
Pearce,2010,2
Phillip,2010,1
Pialligo,2010,3
Pine Island,2010,0
Queanbeyan,2010,3
Red Hill,2010,1
Reid,2010,4
Richardson,2010,2
Rivett,2010,13
Royalla,2010,0
Russell,2010,0
Scullin,2010,2
Spence,2010,1
Stirling,2010,3
Stromlo Forest,2010,0
Sulman,2010,0
Sutton,2010,0
Swinger Hill,2010,0
Symonston,2010,0
Taylor,2010,0
Tharwa,2010,2
Theodore,2010,3
Throsby,2010,0
Torrens,2010,4
Turner,2010,2
Uriarra,2010,0
Wanniassa,2010,10
Waramanga,2010,3
Watson,2010,4
Weetangera,2010,8
Weston,2010,8
Wright,2010,0
Yarralumla,2010,5
,,
Total,2010,358
,,
Acton,2011,0
Ainslie,2011,8
Amaroo,2011,3
Aranda,2011,2
Banks,2011,1
Barton,2011,1
Belconnen,2011,2
Bonner,2011,0
Bonython,2011,7
Braddon,2011,0
Bruce,2011,2
Bywong,2011,0
Calwell,2011,14
Campbell,2011,10
Capital Hill,2011,0
Carwoola,2011,0
Casey,2011,0
Chapman,2011,9
Charnwood,2011,5
Chifley,2011,10
Chisholm,2011,17
City,2011,0
Conder,2011,4
Cook,2011,2
Coppins Crossing,2011,0
Coree,2011,0
Crace,2011,0
Curtin,2011,15
Deakin,2011,8
Dickson,2011,2
Downer,2011,4
Duffy,2011,10
Dunlop,2011,4
Evatt,2011,15
Fadden,2011,5
Farrer,2011,8
Fisher,2011,6
Florey,2011,7
Flynn,2011,9
Forde,2011,0
Forrest,2011,4
Franklin,2011,2
Fraser,2011,3
Fyshwick,2011,2
Garran,2011,10
Gilmore,2011,2
Giralang,2011,2
Googong,2011,0
Gordon,2011,13
Gowrie,2011,7
Greenway,2011,1
Griffith,2011,4
Gungahlin,2011,0
Hackett,2011,6
Harrison,2011,2
Hawker,2011,6
Higgins,2011,4
Holder,2011,7
Holt,2011,1
Hughes,2011,14
Hume,2011,1
Isaacs,2011,1
Isabella Plains,2011,7
Jamison,2011,0
Jerrabomberra,2011,4
Kaleen,2011,7
Kambah,2011,66
Kenny,2011,0
Kingston,2011,3
Kinlyside,2011,0
Latham,2011,5
Lawson,2011,0
Lyneham,2011,6
Lyons,2011,7
Macarthur,2011,2
Macgregor,2011,14
Macquarie,2011,0
Majura,2011,1
Manuka,2011,0
Mawson,2011,6
McKellar,2011,1
Melba,2011,5
Mitchell,2011,0
Monash,2011,15
Moncrieff,2011,0
Narrabundah,2011,9
Ngunnawal,2011,4
Nicholls,2011,5
Oaks Estate,2011,1
O'Connor,2011,5
O'Malley,2011,1
Oxley,2011,3
Paddy's River,2011,0
Page,2011,5
Palmerston,2011,5
Parkes,2011,1
Pearce,2011,4
Phillip,2011,2
Pialligo,2011,2
Pine Island,2011,0
Queanbeyan,2011,10
Red Hill,2011,15
Reid,2011,5
Richardson,2011,2
Rivett,2011,17
Royalla,2011,0
Russell,2011,0
Scullin,2011,5
Spence,2011,3
Stirling,2011,10
Stromlo Forest,2011,0
Sulman,2011,0
Sutton,2011,1
Swinger Hill,2011,0
Symonston,2011,0
Taylor,2011,0
Tharwa,2011,0
Theodore,2011,1
Throsby,2011,0
Torrens,2011,6
Turner,2011,1
Uriarra,2011,0
Wanniassa,2011,9
Waramanga,2011,10
Watson,2011,5
Weetangera,2011,6
Weston,2011,27
Wright,2011,0
Yarralumla,2011,20
,,
Total,2011,631
