Name,LocationNo,Street,Town,State,Postcode,Phone,Unlead,PremiumUnlead,BPUltimate, E10, Diesel, Any_Autogas, Hours_24, Trailers, LPGBottle, Toilets, CarWash, CleanGo, SuperWash, Other, Pay, EFTPOS, GIFT_CARD, ATM, Restaurant, TruckStops, Express, BP_UltimateDiesel,Latitude,Longitude
17 Mile Service Centre,5354,Virginia Rd,Virginia,NT,835,08 8983 1511,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-12.5547965,131.0291118
AA Bayswater,3015,362 - 366 Bayswater Rd,Bayswater,VIC,3153,03 9729 4574,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.83479896,145.270183
AA Box Hill,3847,839 - 843 Whitehorse Rd,Box Hill,VIC,3128,03 9890 2086,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.81686857,145.1170269
AA Box Hill South,3828,891 Canterbury Rd,Box Hill,VIC,3128,03 9899 2152,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.82866102,145.1218902
AA Braybrook,3657,277 - 281 Ballarat Rd,Braybrook,VIC,3019,03 9311 0718,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.78039028,144.8562397
AA Brooklyn,3243,737 Geelong Rd,Brooklyn,VIC,3025,03 9314 4583,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,-37.82105587,144.834544
AA Burwood,3888,144 Burwood Hwy,Burwood,VIC,3125,03 9888 8066,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.85052637,145.1042148
AA BURWOOD EAST,3864,Cnr Blackburn Rd & Burwood Hwy,BURWOOD EAST,VIC,3151,03 9803 4904,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,-37.85250123,145.1520794
AA Calder Inbound,4187,1262 Calder Fwy,Calder Park,VIC,3037,03 8361 6815,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,-37.66982576,144.760637
AA Calder Outbound,5450,937 Calder Fwy,Calder Park,VIC,3037,03 9390 3955,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,-37.66585889,144.7482722
AA Carlton,271,117 Elgin St,Carlton,VIC,3053,03 9347 5193,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-37.79771984,144.9707465
AA Chadstone,98,716 - 720 Warrigal Rd,Chadstone,VIC,3148,03 9568 5122,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.88024575,145.0908176
AA Croydon,3877,244 Mt Dandenong Rd,Croydon,VIC,3136,03 9723 4324,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.798989,145.2826427
AA Deer Park,3857,1001 - 1007 Western Hwy,Deer Park,VIC,3023,03 9361 2077,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,-37.76218337,144.7525015
AA Doncaster,56,882 Doncaster Road,Doncaster East,VIC,3109,03 9848 3931,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,-37.79031134,145.1719782
AA Doveton,3682,60 - 64 Princes Hwy,Doveton,VIC,3177,03 9793 4405,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-38.00282507,145.2486957
AA Dromana,577,1 Marine Dr,Dromana,VIC,3936,03 5981 4358,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-38.32785546,144.9747041
AA Eastlink Inbound,7325,1500 Eastlink Freeway,Scoresby,VIC,3179,(03) 9753-2924,Y,Y,Y,,Y,Y,Y,N,Y,Y,N,,,,,N,Y,Y,Y,Y,N,N,-37.89856601,145.2303636
AA Fairfield,583,490 - 500 Heidelberg Rd,Fairfield,VIC,3078,03 9489 8052,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.7831058,145.0200222
AA Ferntree Gully,3882,855 BURWOOD HIGHWAY,FERNTREE GULLY,VIC,3156,03 9758 2802,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.88259247,145.2782709
AA Fitzroy,272,143 - 153 Johnston St,Fitzroy North,VIC,3065,03 9417 3385,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-37.79828515,144.9798471
