State,Suburb,Brand,address,Postcode,Phone,E10,Regular,91 Octane,98 Octane,LPG,Diesel,Biodiesel,Premium Diesel,Eftpos,Workshop,24 Hours,Car wash,Disabled Toilet,ATM,BBQ Gas,Truckstop,Starcash,E-FLEX,95 Octane,Longitude,Latitude
NSW,COOGEE,CALTEX,146-148 COOGEE BAY ROAD,2034,02 96655961,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,151.25145,-33.919985
VIC,PRESTON,CALTEX,73 MURRAY RD & ALBERT ST,3072,03 9470 6660,N,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,145.023739,-37.740454
NSW,LAKE TABOURIE,INDEPENDENT,66-74 PRINCES HIGHWAY,2539,02 44573058,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,150.427265,-35.241499
QLD,GRACEMERE,CALTEX,10 MC LAUGHLIN STREET,4702,07 4933 2178,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,150.454307,-23.434122
SA,ALDINGA BEACH,CALTEX,ALDINGA BEACH RD & PRIDHAM BLVDE,5173,08 85566688,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,138.460408,-35.278544
VIC,ESSENDON,INDEPENDENT,337 PASCOE VALE RD,3040,03 93794735,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,144.928011,-37.743778
VIC,KOO WEE RUP,CALTEX,3935 SOUTH GIPPSLAND HWY CNR SYBELL,3981,03 59971354,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,145.496996,-38.214638
SA,GRANGE,CALTEX,328 MILITARY RD,5022,08 83567120,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,138.490452,-34.899771
QLD,LOGANHOLME,CALTEX,80 BRYANTS RD,4128,07 38012564,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,153.179998,-27.663239
QLD,DINGO,CALTEX,CAPRICORN HIGHWAY,4702,07 49359178,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,149.335135,-23.650977
VIC,THOMASTOWN,CALTEX,CNR DALTON RD & WOOD ST,3074,03 94646999,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,145.024808,-37.69305
TAS,WATTLE HILL,CALTEX,BASS HIGHWAY,7307,03 64261570,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,146.442925,-41.241854
WA,KARRIDALE,AMPOL,1 BUSSELL HWY,6288,08 97585523,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,6,N,N,N,115.098895,-34.202176
SA,WILLUNGA,CALTEX,16 MAIN RD,5172,08 85562050,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,138.552277,-35.244446
SA,YAMBA,CALTEX,STURT HWY,5341,08 85955023,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,7,N,N,Y,140.862336,-34.260856
QLD,KIRWAN TOWNSVILLE,CALTEX,103-105 THURINGOWA DR,4817,07 47735633,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,146.734727,-19.30406
QLD,HELENSVALE,CALTEX,PACIFIC HWY CNR HELENSVALE RD,4210,07 55734198,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,1,Y,N,Y,153.318695,-27.906347
NSW,LUDDENHAM,CALTEX,19 THE NRTHERN RD,2745,02 47734466,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,150.704647,-33.911614
TAS,SASSAFRAS,CALTEX,BASS HWY,7307,03 64267243,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,146.478801,-41.266507
TAS,EXETER,AMPOL,84 MAIN ROAD,7275,03 63943216,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,146.956736,-41.302634
