Locality,Site Address,State,Post,Site phone number,Synergy,Pulp,Dsl+,Lpg,24 Hours,C/Wash,Fast Food,T/stop,SynergyE10,Latitude,Longitude
CLEVE,RUDALL ROAD,SA,5640,08 8628 2150,NO,NO,YES,NO,NO,NO,NO,NO,NO,-33.699596,136.482634
ROCKHAMPTON NORTH,76 GLENMORE ROAD,QLD,4701,07 4927 5087,NO,YES,YES,NO,NO,NO,NO,NO,NO,-23.36247358,150.5083391
GOULBURN,129 LAGOON STREET,NSW,2580,02 4821 2740,NO,YES,YES,YES,NO,NO,YES,NO,YES,-34.74520055,149.7334469
HAY SOUTH,STURT HWY & ARCHER STREET,NSW,2711,02-6993 1544,NO,YES,YES,YES,NO,NO,YES,NO,NO,-34.52068633,144.8372792
NOWRA EAST,LOT 3 KALANDAR STREET,NSW,2541,02-4421 6507,NO,YES,YES,YES,YES,NO,NO,NO,YES,-34.88859263,150.6093341
CHARLESTOWN,317A PACIFIC HWY,NSW,2290,02-4942 3178,NO,YES,NO,YES,YES,NO,YES,YES,NO,-30.31457165,153.0932453
BATHURST,CNR BANT & ROCKET ST,NSW,2795,02-6334 3552,NO,NO,NO,NO,NO,NO,YES,YES,YES,-33.43089675,149.5785552
WALCHA,18 DERBY STREET,NSW,2354,02-6777 2226,NO,YES,YES,NO,NO,NO,YES,YES,NO,-33.76253333,150.7173597
BOGGABILLA,NEWELL HWY,NSW,2409,07-4676 2207,NO,NO,YES,NO,NO,NO,NO,NO,NO,-31.74201675,148.6424431
JINDABYNE EAST,LOT 1 KOSCIUSKO ROAD,NSW,2627,02-6456 7112,NO,YES,YES,NO,NO,NO,YES,NO,NO,-36.31527859,148.6134798
QUEANBEYAN,2-12 STEPHENS ROAD,NSW,2620,02-6297 4079,NO,YES,YES,YES,NO,NO,YES,YES,NO,-35.3464405,149.208719
KEMPS CREEK,LOT A ELIZABETH DRIVE,NSW,2171,02-9826 1070,NO,NO,YES,YES,NO,NO,NO,YES,NO,-32.90747877,151.7508405
MITTAGONG,51-59 HUME HWY,NSW,2576,02-4871 1964,NO,YES,YES,NO,NO,YES,NO,NO,NO,-33.88760724,151.0631124
NOWRA NORTH,"Lot 23, ILLAROO ROAD",NSW,2541,02-4421 4268,NO,YES,YES,NO,NO,NO,NO,NO,YES,-34.84334949,150.5036489
GRENFELL,75 CAMP STREET,NSW,2810,02-6343 1389,NO,YES,YES,YES,NO,NO,YES,NO,NO,-33.89547481,148.1630139
BOOROWA,58 MARSDEN STREET,NSW,2586,02-6385 3121,NO,NO,YES,YES,NO,NO,YES,NO,NO,-33.8231652,150.9994154
NOWRA SOUTH,202 PRINCES HWY,NSW,2541,02-4421 6655,NO,NO,YES,NO,NO,NO,NO,NO,NO,-34.40114033,150.8919769
SANDGATE,61 MAITLAND ROAD,NSW,2304,02-4960 2072,NO,YES,YES,YES,YES,NO,YES,YES,YES,-32.87319926,151.7119452
CROOKWELL,CARRINGTON STREET,NSW,2583,02-4832 1425,NO,NO,YES,YES,NO,NO,NO,NO,NO,-31.45826606,152.7399194
COFFS HARBOUR,150-156 PACIFIC HWY,NSW,2450,02 6651 1313,NO,YES,YES,YES,YES,YES,NO,NO,YES,-30.2905782,153.1192232
BOMADERRY,33 BOLONG ROAD,NSW,2541,02 4421 6671,NO,YES,YES,YES,NO,NO,NO,NO,YES,-34.85577712,150.6101237
COOMA,42 SHARP STREET,NSW,2630,02 6452 3550,NO,YES,YES,YES,YES,NO,YES,NO,YES,-36.23276108,149.1318099
ALICE SPRINGS,LARAPINTA DRIVE,NT,870,08-8952 3320,NO,NO,YES,YES,NO,NO,NO,NO,NO,-23.90880934,132.6839316
ALICE SPRINGS,70 SPEARWOOD RD,NT,871,08-8952 1238,NO,NO,YES,NO,NO,NO,NO,NO,NO,-23.70045845,133.8999957
TI TREE WELL,STUART HWY,NT,871,08-8956 9741,NO,NO,YES,YES,NO,NO,YES,YES,NO,-23.698704,133.878243
ALICE SPRINGS,34 NORTH STUART HWY,NT,870,08 8952 6980,NO,YES,YES,YES,NO,NO,YES,NO,NO,-22.130042,133.416016
TENNANT CREEK,LOT 1192 PATERSON STREET,NT,860,08-8962 2855,NO,NO,YES,YES,NO,NO,YES,NO,NO,-19.65397894,134.1879757
ALICE SPRINGS,GHAN ROAD,NT,871,08-8952 6222,NO,YES,YES,NO,NO,NO,NO,YES,NO,-23.69355012,133.8702396
MACKAY,CNR SYDNEY STREET & ALFRED STREET,QLD,4740,07-4951 1314,NO,NO,YES,NO,NO,NO,NO,NO,YES,-22.87021902,147.6015845
