Site Name,Site Address,Town,State,Postcode,24 Hours,98 Octane,Diesel,LPG,E10,Shell Low Aromatic,95 Octane,98 Octane,Premium Diesel,Diesel E10,Adblue At the  Pump,"Adblue 
10L",Truckstop,Carwash,Toilets,Latitude,Longitude
COLES EXPRESS BELCONNEN,CNR NETTLEFORD ST & LATHLAIN DR,BELCONNEN,ACT,2617,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,Y,-35.24295756,149.0645049
COLES EXPRESS BELCONNEN TOWN CENTRE,CNR COHEN & JOSEPHSON ST,BELCONNEN,ACT,2617,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,-35.23979205,149.0609706
COLES EXPRESS BRADDON,CNR MORT ST & GIRRAHWEEN ST,BRADDON,ACT,2612,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,-35.27048214,149.1318949
COLES EXPRESS CHARNWOOD,LHOTSKY STREET,CHARNWOOD,ACT,2615,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,-35.1991613,149.0309387
COLES EXPRESS CURTIN,17 STRANGWAYS STREET,CURTIN,ACT,2605,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,-35.32475288,149.0813138
COLES EXPRESS DEAKIN,25 HOPETOUN CIRCUIT,DEAKIN,ACT,2600,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,-35.31417482,149.1073909
COLES EXPRESS DICKSON,CNR ANTILL & BADHAM ST,DICKSON,ACT,2602,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,-35.24871422,149.1381084
COLES EXPRESS FYSHWICK CAPITAL,CNR WOLLONGONG & NEWCASTLE ST,FYSHWICK,ACT,2609,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,-35.32561283,149.172935
COLES EXPRESS FYSHWICK WILUNA,CNR IPSWICH & WILUNA STS,FYSHWICK,ACT,2609,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,-35.32810267,149.1636033
COLES EXPRESS GUNGAHLIN,CNR GINN ST & CRINNIGAN CIRCUIT,GUNGAHLIN,ACT,2912,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,-35.18397012,149.1264771
COLES EXPRESS HAWKER,20 SPRINGVALE DVE,HAWKER,ACT,2614,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,-35.24418007,149.044161
