"Locality","Site Address","State","Post","Site phone number","Synergy","Pulp","Dsl+","Lpg","24 Hours","C/Wash","Fast Food","T/stop","SynergyE10"
"CLEVE","RUDELL ROAD","SA","5640","08 8628 2150","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"ROCKHAMPTON NORTH","76 GLENMORE ROAD","QLD","4701","07 4927 5087","NO","YES","YES","NO","NO","NO","NO","NO","NO"
"GOULBURN","129 LAGOON STREET","NSW","2580","02 4821 2740","NO","YES","YES","YES","NO","NO","YES","NO","YES"
"HAY SOUTH","STURT HWY & ARCHER STREET","NSW","2711","02-6993 1544","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"NOWRA EAST","LOT 3 KALANDAR STREET","NSW","2541","02-4421 6507","NO","YES","YES","YES","YES","NO","NO","NO","YES"
"CHARLESTOWN","317A PACIFIC HWY","NSW","2290","02-4942 3178","NO","YES","NO","YES","YES","NO","YES","YES","NO"
"BATHURST","CNR BANT & ROCKET ST","NSW","2795","02-6334 3552","NO","NO","NO","NO","NO","NO","YES","YES","YES"
"WALCHA","18 DERBY STREET","NSW","2354","02-6777 2226","NO","YES","YES","NO","NO","NO","YES","YES","NO"
"BOGGABILLA","NEWELL HWY","NSW","2409","07-4676 2207","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"JINDABYNE EAST","LOT 1 KOSCIUSKO ROAD","NSW","2627","02-6456 7112","NO","YES","YES","NO","NO","NO","YES","NO","NO"
"QUEANBEYAN","2-12 STEPHENS ROAD","NSW","2620","02-6297 4079","NO","YES","YES","YES","NO","NO","YES","YES","NO"
"KEMPS CREEK","LOT A ELIZABETH DRIVE","NSW","2171","02-9826 1070","NO","NO","YES","YES","NO","NO","NO","YES","NO"
"MITTAGONG","51-59 HUME HWY","NSW","2576","02-4871 1964","NO","YES","YES","NO","NO","YES","NO","NO","NO"
"NOWRA NORTH","Lot 23, ILLAROO ROAD","NSW","2541","02-4421 4268","NO","YES","YES","NO","NO","NO","NO","NO","YES"
"GRENFELL","75 CAMP STREET","NSW","2810","02-6343 1389","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"BOOROWA","58 MARSDEN STREET","NSW","2586","02-6385 3121","NO","NO","YES","YES","NO","NO","YES","NO","NO"
"NOWRA SOUTH","202 PRINCES HWY","NSW","2541","02-4421 6655","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"SANDGATE","61 MAITLAND ROAD","NSW","2304","02-4960 2072","NO","YES","YES","YES","YES","NO","YES","YES","YES"
