id,inst_name,cmps_id,cmps_name,state_id,l_addr_1,l_addr_2,l_pcode,state,cmps_lvl,systemic,affiliation,long,lat,mceetya_code,region_name,prim,sec,ung,fte,aria_code,arianame
2044,St Vincent's Primary School,2044,St Vincent's Primary School,,Bindel Street,ARANDA,2614,ACT,Primary,Systemic,"Catholic, Roman",149.076661,-35.254993,1.2,Metropolitan Zone Major urban Statistical Districts,152,,,152,0,Major Cities of Australia
2046,St Thomas More's Primary School,2046,St Thomas More's Primary School,,24 White Crescent,CAMPBELL,2612,ACT,Primary,Systemic,"Catholic, Roman",149.156836,-35.286717,1.2,Metropolitan Zone Major urban Statistical Districts,160,,,160,0,Major Cities of Australia
2047,Holy Trinity Primary School,2047,Holy Trinity Primary School,,Theodore Street,CURTIN,2605,ACT,Primary,Systemic,"Catholic, Roman",149.081951,-35.327679,1.2,Metropolitan Zone Major urban Statistical Districts,261.5,,,261.5,0,Major Cities of Australia
2050,Sts Peter and Paul's Primary School,2050,Sts Peter and Paul's Primary School,,Wisdom Street,GARRAN,2605,ACT,Primary,Systemic,"Catholic, Roman",149.092732,-35.339376,1.2,Metropolitan Zone Major urban Statistical Districts,363,,,363,0,Major Cities of Australia
2052,St Benedict's Primary School,2052,St Benedict's Primary School,,Tallara Parkway,NARRABUNDAH,2604,ACT,Primary,Systemic,"Catholic, Roman",149.148034,-35.33483,1.2,Metropolitan Zone Major urban Statistical Districts,160.1,,,160.1,0,Major Cities of Australia
2053,St Joseph's Primary School,2053,St Joseph's Primary School,,Macarthur Avenue,O'CONNOR,2602,ACT,Primary,Systemic,"Catholic, Roman",149.126375,-35.259648,1.2,Metropolitan Zone Major urban Statistical Districts,178,,,178,0,Major Cities of Australia
2054,St Matthew's Primary School,2054,St Matthew's Primary School,,Stutchbury Street,PAGE,2614,ACT,Primary,Systemic,"Catholic, Roman",149.041555,-35.240755,1.2,Metropolitan Zone Major urban Statistical Districts,330,,,330,0,Major Cities of Australia
2055,Sacred Heart Primary School,2055,Sacred Heart Primary School,,29 Murphy Street,PEARCE,2607,ACT,Primary,Systemic,"Catholic, Roman",149.084391,-35.366936,1.2,Metropolitan Zone Major urban Statistical Districts,339,,,339,0,Major Cities of Australia
2056,St Bede's Primary School,2056,St Bede's Primary School,,Hicks Street,RED HILL,2603,ACT,Primary,Systemic,"Catholic, Roman",149.128788,-35.338847,1.2,Metropolitan Zone Major urban Statistical Districts,199,,,199,0,Major Cities of Australia
2057,St John Vianney's Primary School,2057,St John Vianney's Primary School,,Namatjira Drv,WARAMANGA,2611,ACT,Primary,Systemic,"Catholic, Roman",149.055559,-35.351057,1.2,Metropolitan Zone Major urban Statistical Districts,269,,,269,0,Major Cities of Australia
2058,Rosary Primary School,2058,Rosary Primary School,,Fleming Street,WATSON,2602,ACT,Primary,Systemic,"Catholic, Roman",149.154682,-35.24641,1.2,Metropolitan Zone Major urban Statistical Districts,421,,,421,0,Major Cities of Australia
2060,Canberra Grammar School,2060,Canberra Grammar School,,Monaro Crescent,RED HILL,2603,ACT,Combined,Non-Systemic,Anglican,149.124674,-35.330919,1.2,Metropolitan Zone Major urban Statistical Districts,,920,,920,0,Major Cities of Australia
2061,Canberra Girls' Grammar School,2061,Canberra Girls' Grammar School,,Melbourne Avenue,DEAKIN,2600,ACT,Combined,Non-Systemic,Anglican,149.115115,-35.31699,1.2,Metropolitan Zone Major urban Statistical Districts,,956,,956,0,Major Cities of Australia
2062,Canberra Christian School,2062,Canberra Christian School,,Ainsworth Street,MAWSON,2607,ACT,Primary,Non-Systemic,Seventh Day Adventist,149.097963,-35.356475,1.2,Metropolitan Zone Major urban Statistical Districts,47,,,47,0,Major Cities of Australia
2064,Daramalan College,2064,Daramalan College,,Cowper Street,DICKSON,2602,ACT,Secondary,Non-Systemic,"Catholic, Roman",149.138695,-35.253518,1.2,Metropolitan Zone Major urban Statistical Districts,,1449,,1449,0,Major Cities of Australia
2065,Merici College,2065,Merici College,,Wise Street,BRADDON,2612,ACT,Secondary,Systemic,"Catholic, Roman",149.137037,-35.266525,1.2,Metropolitan Zone Major urban Statistical Districts,,919.3,,919.3,0,Major Cities of Australia
2066,St Clare's College,2066,St Clare's College,,McMillan Crescent,GRIFFITH,2603,ACT,Secondary,Systemic,"Catholic, Roman",149.14765,-35.323929,1.2,Metropolitan Zone Major urban Statistical Districts,,1205.5,,1205.5,0,Major Cities of Australia
2067,Marist College Canberra,2067,Marist College Canberra,,Marr Street,PEARCE,2607,ACT,Combined,Non-Systemic,"Catholic, Roman",149.088697,-35.357959,1.2,Metropolitan Zone Major urban Statistical Districts,390,1250,,1640,0,Major Cities of Australia
2068,St Edmund's College,2068,St Edmund's College,,Canberra Avenue,GRIFFITH,2603,ACT,Combined,Non-Systemic,"Catholic, Roman",149.144242,-35.32282,1.2,Metropolitan Zone Major urban Statistical Districts,261,947,,1208,0,Major Cities of Australia
2900,St Thomas Aquinas Primary School,2900,St Thomas Aquinas Primary School,,Lhotsky Street,CHARNWOOD,2615,ACT,Primary,Systemic,"Catholic, Roman",149.029638,-35.205121,1.2,Metropolitan Zone Major urban Statistical Districts,179,,,179,0,Major Cities of Australia
2901,St Jude's Primary School,2901,St Jude's Primary School,,Mulley Street,HOLDER,2611,ACT,Primary,Systemic,"Catholic, Roman",149.049819,-35.333941,1.2,Metropolitan Zone Major urban Statistical Districts,254,,,254,0,Major Cities of Australia
2902,St Monica's Primary School,2902,St Monica's Primary School,,Moynihan Street,EVATT,2617,ACT,Primary,Systemic,"Catholic, Roman",149.061289,-35.213525,1.2,Metropolitan Zone Major urban Statistical Districts,461,,,461,0,Major Cities of Australia
2903,St Francis Xavier College,2903,St Francis Xavier College,,Barnard Circuit,FLOREY,2615,ACT,Secondary,Systemic,"Catholic, Roman",149.040615,-35.223979,1.2,Metropolitan Zone Major urban Statistical Districts,,1164.4,,1164.4,0,Major Cities of Australia
2904,St Thomas the Apostle Primary School,2904,St Thomas the Apostle Primary School,,Boddington Crescent,KAMBAH,2902,ACT,Primary,Systemic,"Catholic, Roman",149.051977,-35.382449,1.2,Metropolitan Zone Major urban Statistical Districts,353,,,353,0,Major Cities of Australia
2905,St Anthony's Parish School,2905,St Anthony's Parish School,,Wheeler Crescent,WANNIASSA,2903,ACT,Primary,Systemic,"Catholic, Roman",149.080086,-35.394049,1.2,Metropolitan Zone Major urban Statistical Districts,466,,,466,0,Major Cities of Australia
2907,St John the Apostle Primary School,2907,St John the Apostle Primary School,,Pawsey Circuit,FLOREY,2615,ACT,Primary,Systemic,"Catholic, Roman",149.041696,-35.225664,1.2,Metropolitan Zone Major urban Statistical Districts,426,,,426,0,Major Cities of Australia
2910,Brindabella Christian College,2910,Brindabella Christian College,,136 Brigalow Street,LYNEHAM,2602,ACT,Combined,Non-Systemic,Christian Schools,149.12805,-35.248056,1.2,Metropolitan Zone Major urban Statistical Districts,191,85,,276,0,Major Cities of Australia
2911,Trinity Christian School,2911,Trinity Christian School,,34 McBryde Crs,WANNIASSA,2903,ACT,Combined,Non-Systemic,Christian Schools,149.086051,-35.408265,1.2,Metropolitan Zone Major urban Statistical Districts,536,603,,1139,0,Major Cities of Australia
2912,Orana School,2912,Orana School,,Unwin Place,WESTON,2611,ACT,Combined,Non-Systemic,Steiner School,149.058949,-35.327858,1.2,Metropolitan Zone Major urban Statistical Districts,357.4,226.6,,584,0,Major Cities of Australia
2913,St Michael's Primary School,2913,St Michael's Primary School,,Tyrell Circuit,KALEEN,2617,ACT,Primary,Systemic,"Catholic, Roman",149.109707,-35.223474,1.2,Metropolitan Zone Major urban Statistical Districts,221,,,221,0,Major Cities of Australia
2914,Radford College,2914,Radford College,,College Street,BRUCE,2617,ACT,Combined,Non-Systemic,Anglican,149.089323,-35.243503,1.2,Metropolitan Zone Major urban Statistical Districts,373,1046,,1419,0,Major Cities of Australia
4422,Holy Family Parish Primary School,4422,Holy Family Parish Primary School,,Castleton Crescent,GOWRIE,2904,ACT,Primary,Systemic,"Catholic, Roman",149.116552,-35.410301,1.2,Metropolitan Zone Major urban Statistical Districts,581,,,581,0,Major Cities of Australia
4753,Ainslie School,4753,Ainslie School,AINP,Donaldson Street,Braddon,2602,ACT,Primary,,,149.139632,-35.273729,1.2,Metropolitan Zone Major urban Statistical Districts,379,,,379,0,Major Cities of Australia
4967,Narrabundah College,4967,Narrabundah College,NARC,Jerrabomberra Ave,Narrabundah,2604,ACT,Secondary,,,149.147097,-35.335969,1.2,Metropolitan Zone Major urban Statistical Districts,,904,,904,0,Major Cities of Australia
5623,St Francis of Assisi Primary School,5623,St Francis of Assisi Primary School,,Casey Crescent,CALWELL,2905,ACT,Primary,Systemic,"Catholic, Roman",149.119593,-35.440799,1.2,Metropolitan Zone Major urban Statistical Districts,536.2,,,536.2,0,Major Cities of Australia
5768,Telopea Park School,5768,Telopea Park School,TLPS,New South Wales Crescent,Barton,2600,ACT,Combined,,,149.134385,-35.313804,1.2,Metropolitan Zone Major urban Statistical Districts,405,690,,1095,0,Major Cities of Australia
